endpoint,split,example_id,coherent86_correct,endpoint_correct,delta_correct,coherent86_prediction,endpoint_prediction,gold,prompt,solution0,solution1
dense_seed62064,nonparallel,group0123_ex000032_eng_latn_0_v1,False,True,1, Place the clay sticks onto a baking sheet and bake at 350°F for twenty minutes., Place the clay sticks onto a baking sheet and bake at 350°F for one minute.,Place the clay sticks onto a baking sheet and bake at 350°F for one minute.,How do you bake small polymer clay sticks to make clay sprinkles?,Place the clay sticks onto a baking sheet and bake at 350°F for one minute.,Place the clay sticks onto a baking sheet and bake at 350°F for twenty minutes.
dense_seed62065,nonparallel,group0123_ex000032_eng_latn_0_v1,False,True,1, Place the clay sticks onto a baking sheet and bake at 350°F for twenty minutes., Place the clay sticks onto a baking sheet and bake at 350°F for one minute.,Place the clay sticks onto a baking sheet and bake at 350°F for one minute.,How do you bake small polymer clay sticks to make clay sprinkles?,Place the clay sticks onto a baking sheet and bake at 350°F for one minute.,Place the clay sticks onto a baking sheet and bake at 350°F for twenty minutes.
clean_pres_seed62064,nonparallel,group0123_ex000032_eng_latn_0_v1,False,True,1, Place the clay sticks onto a baking sheet and bake at 350°F for twenty minutes., Place the clay sticks onto a baking sheet and bake at 350°F for one minute.,Place the clay sticks onto a baking sheet and bake at 350°F for one minute.,How do you bake small polymer clay sticks to make clay sprinkles?,Place the clay sticks onto a baking sheet and bake at 350°F for one minute.,Place the clay sticks onto a baking sheet and bake at 350°F for twenty minutes.
clean_pres_seed62065,nonparallel,group0123_ex000032_eng_latn_0_v1,False,True,1, Place the clay sticks onto a baking sheet and bake at 350°F for twenty minutes., Place the clay sticks onto a baking sheet and bake at 350°F for one minute.,Place the clay sticks onto a baking sheet and bake at 350°F for one minute.,How do you bake small polymer clay sticks to make clay sprinkles?,Place the clay sticks onto a baking sheet and bake at 350°F for one minute.,Place the clay sticks onto a baking sheet and bake at 350°F for twenty minutes.
dense_seed62064,nonparallel,group0123_ex000084_eng_latn_0_v1,False,True,1, Place a wet towel on the counter first., Place a dry towel on the counter first.,Place a dry towel on the counter first.,How do I protect the counter from the heat of the iron ?,Place a wet towel on the counter first.,Place a dry towel on the counter first.
dense_seed62065,nonparallel,group0123_ex000084_eng_latn_0_v1,False,True,1, Place a wet towel on the counter first., Place a dry towel on the counter first.,Place a dry towel on the counter first.,How do I protect the counter from the heat of the iron ?,Place a wet towel on the counter first.,Place a dry towel on the counter first.
clean_pres_seed62064,nonparallel,group0123_ex000084_eng_latn_0_v1,False,True,1, Place a wet towel on the counter first., Place a dry towel on the counter first.,Place a dry towel on the counter first.,How do I protect the counter from the heat of the iron ?,Place a wet towel on the counter first.,Place a dry towel on the counter first.
clean_pres_seed62065,nonparallel,group0123_ex000084_eng_latn_0_v1,False,True,1, Place a wet towel on the counter first., Place a dry towel on the counter first.,Place a dry towel on the counter first.,How do I protect the counter from the heat of the iron ?,Place a wet towel on the counter first.,Place a dry towel on the counter first.
dense_seed62064,parallel,parallel_ex000000_eng_latn,False,True,1, The amount of air in the bag increases, The amount of air in the bag stays the same,The amount of air in the bag stays the same,"A plastic bag is filled with air and then sealed. When an object is placed on the bag, what happens?",The amount of air in the bag decreases,The amount of air in the bag increases
dense_seed62065,parallel,parallel_ex000000_eng_latn,False,True,1, The amount of air in the bag increases, The amount of air in the bag stays the same,The amount of air in the bag stays the same,"A plastic bag is filled with air and then sealed. When an object is placed on the bag, what happens?",The amount of air in the bag decreases,The amount of air in the bag increases
clean_pres_seed62064,parallel,parallel_ex000000_eng_latn,False,True,1, The amount of air in the bag increases, The amount of air in the bag stays the same,The amount of air in the bag stays the same,"A plastic bag is filled with air and then sealed. When an object is placed on the bag, what happens?",The amount of air in the bag decreases,The amount of air in the bag increases
clean_pres_seed62065,parallel,parallel_ex000000_eng_latn,False,True,1, The amount of air in the bag increases, The amount of air in the bag stays the same,The amount of air in the bag stays the same,"A plastic bag is filled with air and then sealed. When an object is placed on the bag, what happens?",The amount of air in the bag decreases,The amount of air in the bag increases
dense_seed62064,parallel,parallel_ex000071_eng_latn,False,True,1, The wick should be shorter than the height of the candle wax, The wick should be longer than the height of the candle wax,The wick should be longer than the height of the candle wax,"How long is the wick of a candle, compared to the height of the candle wax?",The wick should be the same length as the height of the candle wax,The wick should be shorter than the height of the candle wax
dense_seed62065,parallel,parallel_ex000071_eng_latn,False,True,1, The wick should be shorter than the height of the candle wax, The wick should be longer than the height of the candle wax,The wick should be longer than the height of the candle wax,"How long is the wick of a candle, compared to the height of the candle wax?",The wick should be the same length as the height of the candle wax,The wick should be shorter than the height of the candle wax
clean_pres_seed62064,parallel,parallel_ex000071_eng_latn,False,True,1, The wick should be shorter than the height of the candle wax, The wick should be longer than the height of the candle wax,The wick should be longer than the height of the candle wax,"How long is the wick of a candle, compared to the height of the candle wax?",The wick should be the same length as the height of the candle wax,The wick should be shorter than the height of the candle wax
clean_pres_seed62065,parallel,parallel_ex000071_eng_latn,False,True,1, The wick should be shorter than the height of the candle wax, The wick should be longer than the height of the candle wax,The wick should be longer than the height of the candle wax,"How long is the wick of a candle, compared to the height of the candle wax?",The wick should be the same length as the height of the candle wax,The wick should be shorter than the height of the candle wax
dense_seed62064,parallel,parallel_ex000094_eng_latn,True,False,-1, Drying the laundry, Folding the laundry,Drying the laundry,You put some cookies in the oven before doing some housework. What housework would not be possible to finish before the cookies need to be taken out of the oven?,Drying the laundry,Folding the laundry
dense_seed62065,parallel,parallel_ex000094_eng_latn,True,False,-1, Drying the laundry, Folding the laundry,Drying the laundry,You put some cookies in the oven before doing some housework. What housework would not be possible to finish before the cookies need to be taken out of the oven?,Drying the laundry,Folding the laundry
clean_pres_seed62064,parallel,parallel_ex000094_eng_latn,True,False,-1, Drying the laundry, Folding the laundry,Drying the laundry,You put some cookies in the oven before doing some housework. What housework would not be possible to finish before the cookies need to be taken out of the oven?,Drying the laundry,Folding the laundry
clean_pres_seed62065,parallel,parallel_ex000094_eng_latn,True,False,-1, Drying the laundry, Folding the laundry,Drying the laundry,You put some cookies in the oven before doing some housework. What housework would not be possible to finish before the cookies need to be taken out of the oven?,Drying the laundry,Folding the laundry
