global_index,domain,local_index,ContextType,ContextDiff,TargetDiff,ConceptA,ConceptB,context_diff_words,target_diff_words,all_legal_wrong_flag,all_legal_right_flag,depth_wrong_legal40_wrong_flag,inherited43022_right_but_legal40_depth_wrong_flag,legal40_8x480_correct_flag,depth_correct_flag,pattern,context_diff_n_hunks,context_diff_c1_texts_joined,context_diff_c2_texts_joined,context1_deleted_diff,context2_deleted_diff,deleted_contexts_identical,local_context_status,context1_swapped_diff,context2_swapped_diff,s11_sum,s11_mean,s11_n_tokens,s11_status,s21_sum,s21_mean,s21_n_tokens,s21_status,s12_sum,s12_mean,s12_n_tokens,s12_status,s22_sum,s22_mean,s22_n_tokens,s22_status,prior_t1_sum,prior_t1_mean,prior_t1_n_tokens,prior_t1_status,prior_t2_sum,prior_t2_mean,prior_t2_n_tokens,prior_t2_status,del_s11_sum,del_s11_mean,del_s11_n_tokens,del_s11_status,del_s21_sum,del_s21_mean,del_s21_n_tokens,del_s21_status,del_s12_sum,del_s12_mean,del_s12_n_tokens,del_s12_status,del_s22_sum,del_s22_mean,del_s22_n_tokens,del_s22_status,local_c1_actual_sum,local_c1_actual_mean,local_c1_actual_n_tokens,local_c1_actual_status,local_c1_swapped_sum,local_c1_swapped_mean,local_c1_swapped_n_tokens,local_c1_swapped_status,local_c2_actual_sum,local_c2_actual_mean,local_c2_actual_n_tokens,local_c2_actual_status,local_c2_swapped_sum,local_c2_swapped_mean,local_c2_swapped_n_tokens,local_c2_swapped_status,local_c1_actual_over_swapped_sum,local_c2_actual_over_swapped_sum,local_c1_actual_over_swapped_mean,local_c2_actual_over_swapped_mean,official_margin_t1_sum,official_margin_t2_sum,within_context_margin_c1_sum,within_context_margin_c2_sum,interaction_sum,deletion_official_margin_t1_sum,deletion_official_margin_t2_sum,deletion_within_context_margin_c1_sum,deletion_within_context_margin_c2_sum,deletion_interaction_sum,interaction_minus_deletion_sum,pmi_within_context_margin_c1_sum,pmi_within_context_margin_c2_sum,official_margin_t1_mean,official_margin_t2_mean,within_context_margin_c1_mean,within_context_margin_c2_mean,interaction_mean,deletion_official_margin_t1_mean,deletion_official_margin_t2_mean,deletion_within_context_margin_c1_mean,deletion_within_context_margin_c2_mean,deletion_interaction_mean,interaction_minus_deletion_mean,pmi_within_context_margin_c1_mean,pmi_within_context_margin_c2_mean,saved_model_correct_flag,saved_model_wrong_flag,official_t1_sum_sign_matches_saved,both_official_sum_positive,both_within_context_sum_positive,both_within_context_mean_positive,interaction_sum_positive,interaction_mean_positive,interaction_sign_sum_mean_agree,stable_nonpositive_interaction,weak_abs_interaction_sum_le_0p25,weak_abs_interaction_mean_le_0p05,conditional_reversal_failure_sum,conditional_reversal_failure_stable,local_both_actual_over_swapped_positive,local_min_actual_over_swapped_sum,local_abs_preference_sum,model
0,agent-properties,0,direct,antonym,concept swap,believe,doubt,,believes doubts,False,False,False,False,True,True,0000111,1,inside.,outside.,text_sha256:52781314bc43517934a8f0e2459c4643216317c10ca838ebd4ac312389927013,text_sha256:52781314bc43517934a8f0e2459c4643216317c10ca838ebd4ac312389927013,True,scored,text_sha256:daee30d75a565fadf88d7c804187bb256ee55e8aa0f4a97cd579130d9d72f998,text_sha256:1cd1888a1809e4bb4cc1f6c68501bf2a078af903d831412a2e5e40504d47e17e,-22.058322147931904,-2.2058322147931904,10,ok,-25.783744900021702,-2.57837449000217,10,ok,-33.32315760757774,-3.332315760757774,10,ok,-36.998103463090956,-3.6998103463090954,10,ok,-82.79760652780533,-6.899800543983777,12,ok,-86.55640392005444,-7.213033660004537,12,ok,-30.765187421347946,-3.0765187421347946,10,ok,-30.765187421347946,-3.0765187421347946,10,ok,-43.438423444051296,-4.34384234440513,10,ok,-43.438423444051296,-4.34384234440513,10,ok,-12.355508804321289,-6.1777544021606445,2,ok,-12.109750270843506,-6.054875135421753,2,ok,-12.109750270843506,-6.054875135421753,2,ok,-12.355508804321289,-6.1777544021606445,2,ok,-0.2457585334777832,0.2457585334777832,-0.1228792667388916,0.1228792667388916,3.7254227520897985,-3.674945855513215,11.264835459645838,-11.214358563069254,0.050476896576583385,0.0,0.0,12.67323602270335,-12.67323602270335,0.0,0.050476896576583385,7.50603806739673,-7.455561170820147,0.37254227520897976,-0.3674945855513214,1.1264835459645837,-1.1214358563069253,0.0050476896576583385,0.0,0.0,1.2673236022703351,-1.2673236022703351,0.0,0.0050476896576583385,0.8132504299438241,-0.8082027402861662,True,False,True,False,False,False,True,True,True,False,True,True,False,False,False,-0.2457585334777832,0.2457585334777832,legal40_depth_12x384_43022
1,agent-properties,1,direct,antonym,concept swap,believe,doubt,,believes doubts,False,False,True,False,False,False,0111010,1,outside.,inside.,text_sha256:52781314bc43517934a8f0e2459c4643216317c10ca838ebd4ac312389927013,text_sha256:52781314bc43517934a8f0e2459c4643216317c10ca838ebd4ac312389927013,True,scored,text_sha256:1cd1888a1809e4bb4cc1f6c68501bf2a078af903d831412a2e5e40504d47e17e,text_sha256:daee30d75a565fadf88d7c804187bb256ee55e8aa0f4a97cd579130d9d72f998,-36.998103463090956,-3.6998103463090954,10,ok,-33.32315760757774,-3.332315760757774,10,ok,-25.783744900021702,-2.57837449000217,10,ok,-22.058322147931904,-2.2058322147931904,10,ok,-86.55640392005444,-7.213033660004537,12,ok,-82.79760652780533,-6.899800543983777,12,ok,-43.438423444051296,-4.34384234440513,10,ok,-43.438423444051296,-4.34384234440513,10,ok,-30.765187421347946,-3.0765187421347946,10,ok,-30.765187421347946,-3.0765187421347946,10,ok,-12.109750270843506,-6.054875135421753,2,ok,-12.355508804321289,-6.1777544021606445,2,ok,-12.355508804321289,-6.1777544021606445,2,ok,-12.109750270843506,-6.054875135421753,2,ok,0.2457585334777832,-0.2457585334777832,0.1228792667388916,-0.1228792667388916,-3.674945855513215,3.7254227520897985,-11.214358563069254,11.264835459645838,0.050476896576583385,0.0,0.0,-12.67323602270335,12.67323602270335,0.0,0.050476896576583385,-7.455561170820147,7.50603806739673,-0.3674945855513214,0.37254227520897976,-1.1214358563069253,1.1264835459645837,0.0050476896576583385,0.0,0.0,-1.2673236022703351,1.2673236022703351,0.0,0.0050476896576583385,-0.8082027402861662,0.8132504299438241,False,True,True,False,False,False,True,True,True,False,True,True,False,False,False,-0.2457585334777832,0.2457585334777832,legal40_depth_12x384_43022
2,agent-properties,2,direct,antonym,concept swap,believe,doubt,,believes doubts,False,False,False,False,False,True,1101011,1,inside.,outside.,text_sha256:f59d28fd8c0becf5a8c4d8215363677bc968e55b7c51dd2e32c1352bdd2cb497,text_sha256:f59d28fd8c0becf5a8c4d8215363677bc968e55b7c51dd2e32c1352bdd2cb497,True,scored,text_sha256:43412b73ec1c34e4ab744c2c30f5264fcad2e0b24a1eed72ed0ebf3c4bbf2e45,text_sha256:16c625d4a0ceda4b7f9108e7a67af728ff9f60208c978f442648a6fbeb5b8241,-12.757305277744308,-1.1597550252494826,11,ok,-15.391849500127137,-1.3992590454661034,11,ok,-21.08470784733072,-1.9167916224846109,11,ok,-23.202302044723183,-2.1093001858839258,11,ok,-80.57631608843803,-6.198178160649079,13,ok,-87.77876637876034,-6.7522127983661795,13,ok,-15.343078249832615,-1.3948252954393288,11,ok,-15.343078249832615,-1.3948252954393288,11,ok,-23.947804973926395,-2.177073179447854,11,ok,-23.947804973926395,-2.177073179447854,11,ok,-12.0126953125,-6.00634765625,2,ok,-11.74165964126587,-5.870829820632935,2,ok,-11.74165964126587,-5.870829820632935,2,ok,-12.0126953125,-6.00634765625,2,ok,-0.27103567123413086,0.27103567123413086,-0.13551783561706543,0.13551783561706543,2.6345442223828286,-2.1175941973924637,8.327402569586411,-7.810452544596046,0.5169500249903649,0.0,0.0,8.60472672409378,-8.60472672409378,0.0,0.5169500249903649,1.1249522792641073,-0.6080022542737424,0.23950402021662076,-0.19250856339931488,0.7570365972351283,-0.7100411404178224,0.04699545681730566,0.0,0.0,0.7822478840085252,-0.7822478840085252,0.0,0.04699545681730566,0.20300195951802813,-0.15600650270072158,True,False,True,False,False,False,True,True,True,False,False,True,False,False,False,-0.27103567123413086,0.27103567123413086,legal40_depth_12x384_43022
3,agent-properties,3,direct,antonym,concept swap,believe,doubt,,believes doubts,False,False,True,False,False,False,0010000,1,outside.,inside.,text_sha256:f59d28fd8c0becf5a8c4d8215363677bc968e55b7c51dd2e32c1352bdd2cb497,text_sha256:f59d28fd8c0becf5a8c4d8215363677bc968e55b7c51dd2e32c1352bdd2cb497,True,scored,text_sha256:16c625d4a0ceda4b7f9108e7a67af728ff9f60208c978f442648a6fbeb5b8241,text_sha256:43412b73ec1c34e4ab744c2c30f5264fcad2e0b24a1eed72ed0ebf3c4bbf2e45,-23.202302044723183,-2.1093001858839258,11,ok,-21.08470784733072,-1.9167916224846109,11,ok,-15.391849500127137,-1.3992590454661034,11,ok,-12.757305277744308,-1.1597550252494826,11,ok,-87.77877210080624,-6.752213238523557,13,ok,-80.57630539685488,-6.198177338219606,13,ok,-23.947804973926395,-2.177073179447854,11,ok,-23.947804973926395,-2.177073179447854,11,ok,-15.343078249832615,-1.3948252954393288,11,ok,-15.343078249832615,-1.3948252954393288,11,ok,-11.74165964126587,-5.870829820632935,2,ok,-12.0126953125,-6.00634765625,2,ok,-12.0126953125,-6.00634765625,2,ok,-11.74165964126587,-5.870829820632935,2,ok,0.27103567123413086,-0.27103567123413086,0.13551783561706543,-0.13551783561706543,-2.1175941973924637,2.6345442223828286,-7.810452544596046,8.327402569586411,0.5169500249903649,0.0,0.0,-8.60472672409378,8.60472672409378,0.0,0.5169500249903649,-0.6079858406446874,1.1249358656350523,-0.19250856339931488,0.23950402021662076,-0.7100411404178224,0.7570365972351283,0.04699545681730566,0.0,0.0,-0.7822478840085252,0.7822478840085252,0.0,0.04699545681730566,-0.1560052401138714,0.20300069693117706,False,True,True,False,False,False,True,True,True,False,False,True,False,False,False,-0.27103567123413086,0.27103567123413086,legal40_depth_12x384_43022
4,agent-properties,4,direct,antonym,concept swap,believe,doubt,,believes doubts,False,False,False,False,False,True,1100011,1,inside.,outside.,text_sha256:0c890a39d8afd69041565c2afbb5419939b4ea10ffb6e852230920055f380a38,text_sha256:0c890a39d8afd69041565c2afbb5419939b4ea10ffb6e852230920055f380a38,True,scored,text_sha256:fd59d4526a63b58e02dcd23ac28d7b9c06310994a4b8af3006255367640bc3f7,text_sha256:2105e15691e7442435ceb40ff041368593d6ab3cdeef1ff79de8594a6d1a1a4e,-13.412593884393573,-1.3412593884393573,10,ok,-15.361036350019276,-1.5361036350019277,10,ok,-26.092111912555993,-2.609211191255599,10,ok,-28.121155025437474,-2.8121155025437474,10,ok,-80.71761786937714,-6.726468155781428,12,ok,-88.44489240646362,-7.370407700538635,12,ok,-25.87527789035812,-2.587527789035812,10,ok,-25.87527789035812,-2.587527789035812,10,ok,-41.02804848970845,-4.1028048489708455,10,ok,-41.02804848970845,-4.1028048489708455,10,ok,-12.830505847930908,-6.415252923965454,2,ok,-11.101072788238525,-5.550536394119263,2,ok,-11.101072788238525,-5.550536394119263,2,ok,-12.830505847930908,-6.415252923965454,2,ok,-1.7294330596923828,1.7294330596923828,-0.8647165298461914,0.8647165298461914,1.9484424656257033,-2.0290431128814816,12.67951802816242,-12.760118675418198,-0.08060064725577831,0.0,0.0,15.152770599350333,-15.152770599350333,0.0,-0.08060064725577831,4.952243491075933,-5.032844138331711,0.19484424656257038,-0.20290431128814834,1.2679518028162418,-1.2760118675418197,-0.008060064725577298,0.0,0.0,1.5152770599350336,-1.5152770599350336,0.0,-0.008060064725577298,0.624012258059035,-0.6320723227846123,True,False,True,False,False,False,False,False,True,True,True,True,False,False,False,-1.7294330596923828,1.7294330596923828,legal40_depth_12x384_43022
5,agent-properties,5,direct,antonym,concept swap,believe,doubt,,believes doubts,False,False,True,False,False,False,0111000,1,outside.,inside.,text_sha256:0c890a39d8afd69041565c2afbb5419939b4ea10ffb6e852230920055f380a38,text_sha256:0c890a39d8afd69041565c2afbb5419939b4ea10ffb6e852230920055f380a38,True,scored,text_sha256:2105e15691e7442435ceb40ff041368593d6ab3cdeef1ff79de8594a6d1a1a4e,text_sha256:fd59d4526a63b58e02dcd23ac28d7b9c06310994a4b8af3006255367640bc3f7,-28.121155025437474,-2.8121155025437474,10,ok,-26.092111912555993,-2.609211191255599,10,ok,-15.361036350019276,-1.5361036350019277,10,ok,-13.412593884393573,-1.3412593884393573,10,ok,-88.44489240646362,-7.370407700538635,12,ok,-80.71761786937714,-6.726468155781428,12,ok,-41.02804848970845,-4.1028048489708455,10,ok,-41.02804848970845,-4.1028048489708455,10,ok,-25.87527789035812,-2.587527789035812,10,ok,-25.87527789035812,-2.587527789035812,10,ok,-11.101072788238525,-5.550536394119263,2,ok,-12.830505847930908,-6.415252923965454,2,ok,-12.830505847930908,-6.415252923965454,2,ok,-11.101072788238525,-5.550536394119263,2,ok,1.7294330596923828,-1.7294330596923828,0.8647165298461914,-0.8647165298461914,-2.0290431128814816,1.9484424656257033,-12.760118675418198,12.67951802816242,-0.08060064725577831,0.0,0.0,-15.152770599350333,15.152770599350333,0.0,-0.08060064725577831,-5.032844138331711,4.952243491075933,-0.20290431128814834,0.19484424656257038,-1.2760118675418197,1.2679518028162418,-0.008060064725577298,0.0,0.0,-1.5152770599350336,1.5152770599350336,0.0,-0.008060064725577298,-0.6320723227846123,0.624012258059035,False,True,True,False,False,False,False,False,True,True,True,True,True,True,False,-1.7294330596923828,1.7294330596923828,legal40_depth_12x384_43022
6,agent-properties,6,direct,antonym,concept swap,believe,doubt,,believes doubts,False,False,False,False,True,True,1000111,1,inside.,outside.,text_sha256:a8314a3135b11530d756b4f96681f02c17055c06514c2eecb88cd57a0beb638e,text_sha256:a8314a3135b11530d756b4f96681f02c17055c06514c2eecb88cd57a0beb638e,True,scored,text_sha256:676f9dacf5b7fba418400964a687ac5216f938333bb16a13237ac187962c1f67,text_sha256:4be5c7feccc635271a8a85edc09ae5fae64ec51bb4326e71dbe89b2a7fc64b6b,-14.803048287983984,-1.4803048287983984,10,ok,-17.600072998553514,-1.7600072998553515,10,ok,-26.26887891255319,-2.6268878912553193,10,ok,-29.13728200783953,-2.913728200783953,10,ok,-81.68665993958712,-6.807221661632259,12,ok,-86.28968929499388,-7.19080744124949,12,ok,-34.906962858513,-3.4906962858512998,10,ok,-34.906962858513,-3.4906962858512998,10,ok,-47.62707742350176,-4.762707742350176,10,ok,-47.62707742350176,-4.762707742350176,10,ok,-10.103794574737549,-5.051897287368774,2,ok,-11.074903964996338,-5.537451982498169,2,ok,-11.074903964996338,-5.537451982498169,2,ok,-10.103794574737549,-5.051897287368774,2,ok,0.9711093902587891,-0.9711093902587891,0.48555469512939453,-0.48555469512939453,2.7970247105695307,-2.8684030952863395,11.465830624569207,-11.537209009286016,-0.0713783847168088,0.0,0.0,12.720114564988762,-12.720114564988762,0.0,-0.0713783847168088,6.862801269162446,-6.934179653879255,0.2797024710569531,-0.2868403095286336,1.1465830624569209,-1.1537209009286014,-0.007137838471679814,0.0,0.0,1.272011456498876,-1.272011456498876,0.0,-0.007137838471679814,0.7629972828396907,-0.7701351213113705,True,False,True,False,False,False,False,False,True,True,True,True,False,False,False,-0.9711093902587891,0.9711093902587891,legal40_depth_12x384_43022
7,agent-properties,7,direct,antonym,concept swap,believe,doubt,,believes doubts,False,False,True,False,False,False,0111000,1,outside.,inside.,text_sha256:a8314a3135b11530d756b4f96681f02c17055c06514c2eecb88cd57a0beb638e,text_sha256:a8314a3135b11530d756b4f96681f02c17055c06514c2eecb88cd57a0beb638e,True,scored,text_sha256:4be5c7feccc635271a8a85edc09ae5fae64ec51bb4326e71dbe89b2a7fc64b6b,text_sha256:676f9dacf5b7fba418400964a687ac5216f938333bb16a13237ac187962c1f67,-29.13728200783953,-2.913728200783953,10,ok,-26.26887891255319,-2.6268878912553193,10,ok,-17.600072998553514,-1.7600072998553515,10,ok,-14.803048287983984,-1.4803048287983984,10,ok,-86.28968929499388,-7.19080744124949,12,ok,-81.68665993958712,-6.807221661632259,12,ok,-47.62707742350176,-4.762707742350176,10,ok,-47.62707742350176,-4.762707742350176,10,ok,-34.906962858513,-3.4906962858512998,10,ok,-34.906962858513,-3.4906962858512998,10,ok,-11.074903964996338,-5.537451982498169,2,ok,-10.103794574737549,-5.051897287368774,2,ok,-10.103794574737549,-5.051897287368774,2,ok,-11.074903964996338,-5.537451982498169,2,ok,-0.9711093902587891,0.9711093902587891,-0.48555469512939453,0.48555469512939453,-2.8684030952863395,2.7970247105695307,-11.537209009286016,11.465830624569207,-0.0713783847168088,0.0,0.0,-12.720114564988762,12.720114564988762,0.0,-0.0713783847168088,-6.934179653879255,6.862801269162446,-0.2868403095286336,0.2797024710569531,-1.1537209009286014,1.1465830624569209,-0.007137838471679814,0.0,0.0,-1.272011456498876,1.272011456498876,0.0,-0.007137838471679814,-0.7701351213113705,0.7629972828396907,False,True,True,False,False,False,False,False,True,True,True,True,True,True,False,-0.9711093902587891,0.9711093902587891,legal40_depth_12x384_43022
8,agent-properties,8,direct,antonym,concept swap,believe,doubt,,believes doubts,False,True,False,False,True,True,1011111,1,inside.,outside.,text_sha256:78c89d76011d52fb6572b9dd6855cfa5a73431b2bcdb0e6e0b5e9f77c658e37d,text_sha256:78c89d76011d52fb6572b9dd6855cfa5a73431b2bcdb0e6e0b5e9f77c658e37d,True,scored,text_sha256:2baa6d738c144cd176c458b072bc2a09972e1bbf4a80d68d11f6aaa32625cc05,text_sha256:64c0babb2d829b5fe640ead250df11c048844b3f25294989676cc2da82f30a6e,-12.538572316523641,-1.2538572316523642,10,ok,-15.478760517202318,-1.5478760517202317,10,ok,-23.642338703386486,-2.3642338703386487,10,ok,-27.256105619482696,-2.72561056194827,10,ok,-80.58523720502853,-6.7154364337523775,12,ok,-85.7900109142065,-7.149167576183875,12,ok,-34.078690723050386,-3.4078690723050387,10,ok,-34.078690723050386,-3.4078690723050387,10,ok,-44.065527198370546,-4.406552719837054,10,ok,-44.065527198370546,-4.406552719837054,10,ok,-14.831639289855957,-7.4158196449279785,2,ok,-14.993268966674805,-7.496634483337402,2,ok,-14.993268966674805,-7.496634483337402,2,ok,-14.831639289855957,-7.4158196449279785,2,ok,0.16162967681884766,-0.16162967681884766,0.08081483840942383,-0.08081483840942383,2.9401882006786764,-3.6137669160962105,11.103766386862844,-11.777345102280378,-0.6735787154175341,0.0,0.0,9.98683647532016,-9.98683647532016,0.0,-0.6735787154175341,5.898992677684873,-6.5725713931024075,0.2940188200678675,-0.36137669160962105,1.1103766386862846,-1.177734510228038,-0.06735787154175332,0.0,0.0,0.9986836475320158,-0.9986836475320158,0.0,-0.06735787154175332,0.6766454962547872,-0.744003367796541,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,-0.16162967681884766,0.16162967681884766,legal40_depth_12x384_43022
9,agent-properties,9,direct,antonym,concept swap,believe,doubt,,believes doubts,True,False,True,False,False,False,0100000,1,outside.,inside.,text_sha256:78c89d76011d52fb6572b9dd6855cfa5a73431b2bcdb0e6e0b5e9f77c658e37d,text_sha256:78c89d76011d52fb6572b9dd6855cfa5a73431b2bcdb0e6e0b5e9f77c658e37d,True,scored,text_sha256:64c0babb2d829b5fe640ead250df11c048844b3f25294989676cc2da82f30a6e,text_sha256:2baa6d738c144cd176c458b072bc2a09972e1bbf4a80d68d11f6aaa32625cc05,-27.256105619482696,-2.72561056194827,10,ok,-23.642338703386486,-2.3642338703386487,10,ok,-15.478760517202318,-1.5478760517202317,10,ok,-12.538572316523641,-1.2538572316523642,10,ok,-85.7900109142065,-7.149167576183875,12,ok,-80.58523720502853,-6.7154364337523775,12,ok,-44.065527198370546,-4.406552719837054,10,ok,-44.065527198370546,-4.406552719837054,10,ok,-34.078690723050386,-3.4078690723050387,10,ok,-34.078690723050386,-3.4078690723050387,10,ok,-14.993268966674805,-7.496634483337402,2,ok,-14.831639289855957,-7.4158196449279785,2,ok,-14.831639289855957,-7.4158196449279785,2,ok,-14.993268966674805,-7.496634483337402,2,ok,-0.16162967681884766,0.16162967681884766,-0.08081483840942383,0.08081483840942383,-3.6137669160962105,2.9401882006786764,-11.777345102280378,11.103766386862844,-0.6735787154175341,0.0,0.0,-9.98683647532016,9.98683647532016,0.0,-0.6735787154175341,-6.5725713931024075,5.898992677684873,-0.36137669160962105,0.2940188200678675,-1.177734510228038,1.1103766386862846,-0.06735787154175332,0.0,0.0,-0.9986836475320158,0.9986836475320158,0.0,-0.06735787154175332,-0.744003367796541,0.6766454962547872,False,True,True,False,False,False,False,False,True,True,False,False,True,True,False,-0.16162967681884766,0.16162967681884766,legal40_depth_12x384_43022
