path,aoa,curve_fitness,p_value,n_words,mean_monthly_score
experiments/archive/initial_model_studies/training/runs/babylm_fullcycle_wwm_seed42_100M/eval_results_aoa/hf_model/main/zero_shot/mlm/AoA_word/aoa_score.json,0.0,,,,
experiments/archive/initial_model_studies/training/runs/babylm_fullcycle_debertav2_8x480_wwm_seed42_100M_b256/eval_results_aoa/hf_model/main/zero_shot/mlm/AoA_word/aoa_score.json,0.0,,,,
experiments/archive/initial_model_studies/training/runs/babylm_fullcycle_debertav2_8x480_wwm_seed42_100M_b256/eval_results_aoa_local_ckpts/hf_model_local_ckpts/main/zero_shot/mlm/AoA_word/aoa_score.json,-0.17447667011045453,,,,
experiments/archive/initial_model_studies/training/runs/fullcycle_official_wwm_debertav2_8x480_seed43_100M_b256/eval_aoa_local_ckpts/hf_model_local_ckpts/main/zero_shot/mlm/AoA_word/aoa_score.json,0.0,,,,
experiments/archive/compact_experience/data/full_eval/aoa_outputs/official_lengthmatched/hf_model_local_ckpts/main/zero_shot/mlm/AoA_word/aoa_score.json,-0.157045012320915,,,,
experiments/archive/compact_experience/data/full_eval/aoa_outputs/official_lengthmatched_seed43122/hf_model_local_ckpts/main/zero_shot/mlm/AoA_word/aoa_score.json,-0.11722108357891953,,,,
experiments/archive/compact_experience/data/full_eval/aoa_outputs/official_original_dup/hf_model_local_ckpts/main/zero_shot/mlm/AoA_word/aoa_score.json,-0.13315455870332665,,,,
experiments/archive/compact_experience/data/full_eval/aoa_outputs/official_sourcematched/hf_model_local_ckpts/main/zero_shot/mlm/AoA_word/aoa_score.json,0.0,,,,
experiments/archive/compact_experience/data/full_eval/aoa_outputs/qwen_clean_aligned/hf_model_local_ckpts/main/zero_shot/mlm/AoA_word/aoa_score.json,0.0,,,,
experiments/archive/compact_experience/data/full_eval/aoa_outputs/qwen_clean_aligned_seed43122/hf_model_local_ckpts/main/zero_shot/mlm/AoA_word/aoa_score.json,0.0,,,,
experiments/archive/compact_experience/data/full_eval/aoa_outputs/qwen_shuffled_control/hf_model_local_ckpts/main/zero_shot/mlm/AoA_word/aoa_score.json,-0.12789091907639172,,,,
experiments/archive/compact_experience/data/mechanism_eval/aoa_outputs/qwen_separated_pair/hf_model_local_ckpts/main/zero_shot/mlm/AoA_word/aoa_score.json,0.0,,,,
experiments/archive/compact_experience/data/mechanism_eval/aoa_outputs/selected_original_dup_all/hf_model_local_ckpts/main/zero_shot/mlm/AoA_word/aoa_score.json,0.0,,,,
experiments/archive/compact_experience/data/devcurr_eval/aoa_outputs/qwen_devcurr_firstpass_seed43022/hf_model_local_ckpts/main/zero_shot/mlm/AoA_word/aoa_score.json,0.0,,,,
