stream_alias,stream_path,stream_row_index,stream_source,stream_example_id,stream_words,hit_type,heldout_row_id,screen,inherited_aln_pair_text_hit_row,text_preview
compact_experience_OFF,experiments/archive/compact_experience/data/qwen_clean_aligned/training_corpora/official_only_10M.jsonl,400,official_lengthmatched::bnc_spoken,500400,160,norm_text,heldout6992:row:bnc_spoken:526,heldout6992,False,"to add any comments on criterion three or can we move to four? May I play devil's advocate again? Erm two things occur to me from this criterion. First of all, the risk that on the assumption primary road network include"
compact_experience_OFF,experiments/archive/compact_experience/data/qwen_clean_aligned/training_corpora/official_only_10M.jsonl,2716,official_lengthmatched::bnc_spoken,502716,160,norm_text,heldout6992:row:bnc_spoken:2783,heldout6992,False,"higher than that I wouldn't have thought. No. Okay I'll take four people And erm we're going very round very slow. And the visibility was good and everything. So I'd have thought that erm you could put four or six, four "
compact_experience_OFF,experiments/archive/compact_experience/data/qwen_clean_aligned/training_corpora/official_only_10M.jsonl,8065,official_lengthmatched::childes,508065,160,norm_text,heldout6992:row:childes:7981,heldout6992,False,dark. *CHI: now the rainbow is gettin' higher from the rain and everytime it gets higher it makes the sun come out. *GAI: oh. *CHI: is that it? *GAI: sure. *CHI: the boy was gettin' the boat in a puddle and his dog came 
compact_experience_OFF,experiments/archive/compact_experience/data/qwen_clean_aligned/training_corpora/official_only_10M.jsonl,8066,official_lengthmatched::childes,508066,160,norm_text,heldout6992:row:childes:7982,heldout6992,False,*CHI: yeah. *GAI: yeah. *CHI: did it? *GAI: did it? *CHI: yep here. *CHI: I know. *CHI: the girls pickin' flowers. *CHI: I saw that. *CHI: oh here it is. *CHI: in snow time you don't see the sun and you can make a snowma
compact_experience_OFF,experiments/archive/compact_experience/data/qwen_clean_aligned/training_corpora/official_only_10M.jsonl,8797,official_lengthmatched::childes,508797,160,norm_text,heldout6992:row:childes:8693,heldout6992,False,*GRA: hm? *GRA: that's a book. *CHI: dere. *GRA: okay? *GRA: that enough of reading? *GRA: huh? *GRA: read again read again. *GRA: [laughs] *MOT: [laughs]. *GRA: with that one. *CHI: xxx book? *CHI: [Mike makes a choking
compact_experience_OFF,experiments/archive/compact_experience/data/qwen_clean_aligned/training_corpora/official_only_10M.jsonl,8801,official_lengthmatched::childes,508801,160,norm_text,heldout6992:row:childes:8697,heldout6992,False,gonna have cake... *GRA: and what else? *GRA: sandwiches? *CHI: sandwich. *GRA: um. *CHI: he'. *GRA: xxx Goofy. *GRA: Goofy. *CHI: Goo'y. [calling] *GRA: um. *CHI: back. *CHI: de. *CHI: dere. *MOT: Donald Duck. *CHI: Don
compact_experience_OFF,experiments/archive/compact_experience/data/qwen_clean_aligned/training_corpora/official_only_10M.jsonl,9270,official_lengthmatched::childes,509270,160,norm_text,heldout6992:row:childes:9153,heldout6992,False,[laughs]. *CHI: how do you spell character? *MOT: okay we have char and then what does it sound like? *MOT: if you're not sure you can ask. [Chi is sounding out the word.] *MOT: oh I think the i and then a... *CHI: chara
compact_experience_OFF,experiments/archive/compact_experience/data/qwen_clean_aligned/training_corpora/official_only_10M.jsonl,9270,official_lengthmatched::childes,509270,160,norm_text,heldout2647:row:childes:9153,heldout2647,False,[laughs]. *CHI: how do you spell character? *MOT: okay we have char and then what does it sound like? *MOT: if you're not sure you can ask. [Chi is sounding out the word.] *MOT: oh I think the i and then a... *CHI: chara
compact_experience_OFF,experiments/archive/compact_experience/data/qwen_clean_aligned/training_corpora/official_only_10M.jsonl,9273,official_lengthmatched::childes,509273,160,norm_text,heldout6992:row:childes:9156,heldout6992,True,what your book you're referring to? *CHI: where do I write it though? *MOT: so I was wondering why there is only one character instead of two in your book The Very Hungry Caterpillar? *CHI: in the book The The Hungry Cat
compact_experience_OFF,experiments/archive/compact_experience/data/qwen_clean_aligned/training_corpora/official_only_10M.jsonl,12084,official_lengthmatched::childes,512084,160,norm_text,heldout6992:row:childes:11883,heldout6992,False,*MOT: right. *CHI: 'ho'! *MOT: what is this? *MOT: this your favorite. *CHI: ice cream! *MOT: right! %int: lengthened *MOT: what's this? *CHI: lollipops. *MOT: yeah you know all the pictures huh? *CHI: he ate that too. *
compact_experience_OFF,experiments/archive/compact_experience/data/qwen_clean_aligned/training_corpora/official_only_10M.jsonl,17342,official_lengthmatched::childes,517342,160,norm_text,heldout6992:row:childes:16982,heldout6992,False,ground. *CHI: hm. *CHI: she'll play it? *MOT: I think they put it on a big tape machine. *MOT: they got you on tape when you were three and a half four four and a half five and a half. *MOT: all the way up through now. *
