model_key,id,split,kind,family,template_id,is_affected,correct,margin,answer,foil,error,arm,checkpoint
view:chck_80M,S199_eval_000000,eval_held_recomb,binding,empty_full,held0,True,True,3.9418495893478394,full,empty,,view,chck_80M
view:chck_80M,S199_eval_000001,eval_held_recomb,binding,empty_full,held0,False,False,-3.642234146595001,empty,full,,view,chck_80M
view:chck_80M,S199_eval_000002,eval_held_recomb,binding,empty_full,held0,False,False,-3.8097901344299316,empty,full,,view,chck_80M
view:chck_80M,S199_eval_000003,eval_held_recomb,binding,empty_full,held0,True,True,3.6105353832244873,full,empty,,view,chck_80M
view:chck_80M,S199_eval_000004,eval_held_recomb,binding,empty_full,held1,True,True,3.9759366512298584,full,empty,,view,chck_80M
view:chck_80M,S199_eval_000005,eval_held_recomb,binding,empty_full,held1,False,False,-3.8434689044952393,empty,full,,view,chck_80M
view:chck_80M,S199_eval_000006,eval_held_recomb,binding,empty_full,held1,False,False,-3.8208186626434326,empty,full,,view,chck_80M
view:chck_80M,S199_eval_000007,eval_held_recomb,binding,empty_full,held1,True,True,3.8730480670928955,full,empty,,view,chck_80M
view:chck_80M,S199_eval_000008,eval_held_recomb,binding,empty_full,held0,True,False,-6.348319053649902,empty,full,,view,chck_80M
view:chck_80M,S199_eval_000009,eval_held_recomb,binding,empty_full,held0,False,True,6.713266611099243,full,empty,,view,chck_80M
view:chck_80M,S199_eval_000010,eval_held_recomb,binding,empty_full,held0,False,True,6.519705057144165,full,empty,,view,chck_80M
view:chck_80M,S199_eval_000011,eval_held_recomb,binding,empty_full,held0,True,False,-6.560702323913574,empty,full,,view,chck_80M
view:chck_80M,S199_eval_000012,eval_held_recomb,binding,empty_full,held1,True,False,-4.729983806610107,empty,full,,view,chck_80M
view:chck_80M,S199_eval_000013,eval_held_recomb,binding,empty_full,held1,False,True,4.835612058639526,full,empty,,view,chck_80M
view:chck_80M,S199_eval_000014,eval_held_recomb,binding,empty_full,held1,False,True,4.834456443786621,full,empty,,view,chck_80M
view:chck_80M,S199_eval_000015,eval_held_recomb,binding,empty_full,held1,True,False,-4.7971351146698,empty,full,,view,chck_80M
view:chck_80M,S199_eval_000016,eval_held_recomb,binding,cold_hot,held0,True,True,0.4914590120315552,hot,cold,,view,chck_80M
view:chck_80M,S199_eval_000017,eval_held_recomb,binding,cold_hot,held0,False,False,-0.15691864490509033,cold,hot,,view,chck_80M
view:chck_80M,S199_eval_000018,eval_held_recomb,binding,cold_hot,held0,False,False,-0.4116194546222687,cold,hot,,view,chck_80M
view:chck_80M,S199_eval_000019,eval_held_recomb,binding,cold_hot,held0,True,True,0.2945285439491272,hot,cold,,view,chck_80M
view:chck_80M,S199_eval_000020,eval_held_recomb,binding,cold_hot,held1,True,True,0.9028764963150024,hot,cold,,view,chck_80M
view:chck_80M,S199_eval_000021,eval_held_recomb,binding,cold_hot,held1,False,False,-0.9759023189544678,cold,hot,,view,chck_80M
view:chck_80M,S199_eval_000022,eval_held_recomb,binding,cold_hot,held1,False,False,-0.8759052753448486,cold,hot,,view,chck_80M
view:chck_80M,S199_eval_000023,eval_held_recomb,binding,cold_hot,held1,True,True,0.9871363341808319,hot,cold,,view,chck_80M
view:chck_80M,S199_eval_000024,eval_held_recomb,binding,cold_hot,held0,True,False,-2.103419542312622,cold,hot,,view,chck_80M
